City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,13.39,91,100,2.41,SH,1693148362
1,saipan,15.1355,145.701,27.39,89,75,4.12,MP,1693148362
2,bandarbeyla,9.4942,50.8122,25.7,80,75,14.19,SO,1693148362
3,adamstown,-25.066,-130.1015,19.71,66,67,4.15,PN,1693148226
4,port-aux-francais,-49.35,70.2167,6.56,96,100,19.11,TF,1693148362
5,muroto-misakicho,33.2833,134.15,26.74,80,42,0.79,JP,1693148362
6,port augusta,-32.5,137.7667,9.97,88,62,3.22,AU,1693148362
7,grytviken,-54.2811,-36.5092,-2.12,89,100,6.52,GS,1693148363
8,waitangi,-43.9535,-176.5597,6.01,65,100,6.69,NZ,1693148363
9,papatowai,-46.5619,169.4708,1.97,85,69,4.04,NZ,1693148363
10,blackmans bay,-43.0167,147.3167,4.74,92,0,1.64,AU,1693148363
11,ribeira grande,38.5167,-28.7,24.32,78,40,11.32,PT,1693148363
12,togur,58.3631,82.8265,13.47,89,67,2.6,RU,1693148363
13,maisi,43.0395,41.2621,23.61,68,0,1.04,GE,1693148364
14,longyearbyen,78.2186,15.6401,7.91,93,75,4.63,SJ,1693148242
15,oakdale,44.963,-92.9649,18.73,82,100,0.89,US,1693148364
16,kodiak,57.79,-152.4072,11.93,98,100,4.45,US,1693148364
17,ashtabula,41.7001,-80.7665,21.7,77,43,4.72,US,1693148364
18,hawaiian paradise park,19.5933,-154.9731,22.24,96,60,0.67,US,1693148364
19,thompson,55.7435,-97.8558,16.09,82,75,6.17,CA,1693148365
20,albany,42.6001,-73.9662,21.0,79,64,0.45,US,1693148365
21,xining,36.6167,101.7667,11.64,81,74,1.36,CN,1693147886
22,bethel,41.3712,-73.414,26.2,74,0,0.89,US,1693148365
23,college,64.8569,-147.8028,15.5,80,100,0.45,US,1693148365
24,ilulissat,69.2167,-51.1,5.88,67,61,4.46,GL,1693148365
25,puerto natales,-51.7236,-72.4875,3.3,97,96,2.6,CL,1693148366
26,wailua homesteads,22.0669,-159.378,22.64,85,29,3.64,US,1693148366
27,kuusamo,65.9667,29.1833,19.02,45,20,2.57,FI,1693148366
28,weno,7.4515,151.8468,27.99,75,78,3.39,FM,1693148366
29,ushuaia,-54.8,-68.3,4.81,65,0,2.06,AR,1693148366
30,tacna,-18.0056,-70.2483,15.5,82,100,1.54,PE,1693148366
31,bredasdorp,-34.5322,20.0403,14.02,65,0,4.89,ZA,1693148367
